StarID,Hip,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,Mag,AbsMag,Spectrum,ColorIndex
73787,101714,196425,, ,,,20.6177465,8.97778475,182.8153565,7.48,1.169936632,A5          ,0.257
75100,103452,199694,, ,,,20.95988245,39.66269249,281.6901408,7.48,0.231141765,B9          ,-0.091
75766,104345,201543,, ,,,21.13833881,53.2261516,174.8251748,7.48,1.266980144,A0          ,0.1
75961,104594,201858,, ,,,21.18772098,33.13350533,189.7533207,7.48,1.089053076,G5          ,0.955
76057,104718,201771,, ,,,21.21299978,-35.76270777,211.4164905,7.48,0.854305704,K0III       ,1.015
76976,105911,203985,,Gl 828  A,, ,21.4503085,-44.80901766,23.51834431,7.48,5.622966279,K0V         ,0.876
77068,106037,204541,, ,,,21.47842346,24.6700838,132.8021248,7.48,1.863974881,Am          ,0.24
77677,106849,206111,, ,,,21.64139517,48.71362593,252.5252525,7.48,0.46847593,K5          ,1.541
77983,107261,206551,, ,,,21.72550677,-31.24877841,217.8649237,7.48,0.789063428,K0III       ,1.058
78106,107442,207308,, ,,,21.76176916,62.30834682,1470.588235,7.48,-3.357455436,B0.5V       ,0.246
79047,108746,209298,, ,,,22.02871981,26.37787113,128.7001287,7.48,1.932105094,A3          ,0.2
79076,108785,209227,, ,,,22.0369767,-23.61661667,200,7.48,0.974850022,K0III       ,1.059
79148,108885,209517,, ,,,22.05677958,30.03743613,321.5434084,7.48,-0.056198055,B9          ,-0.056
79910,109919,211405,, ,,,22.26349939,43.90076,335.5704698,7.48,-0.14891868,B9          ,0.06
80187,110305,212003,, ,,,22.34200228,35.11481991,119.474313,7.48,2.09362729,F0          ,0.358
80508,110760,212736,, ,,,22.43877298,7.90355836,80.77544426,7.48,2.943603223,F5          ,0.418
80563,110843,212708,, ,,,22.45677333,-49.36514752,35.84229391,7.48,4.708021016,G5V         ,0.73
80986,111480,214010,, ,,,22.5866955,14.61053848,480.7692308,7.48,-0.929683325,K2          ,1.218
81103,111647,214247,, ,,,22.61689449,-7.5661161,94.78672986,7.48,2.596262298,F0          ,0.294
81268,111893,214757,, ,,,22.6654852,22.87699642,367.6470588,7.48,-0.34715548,K0II-III    ,1.036
82174,113195,216925,, ,,,22.92357119,70.29728189,83.89261745,7.48,2.861381277,A5          ,0.298
82697,113936,217951,, ,,,23.07300911,-6.68960721,313.4796238,7.48,-0.001046585,K0          ,1.206
82733,113989,218209,,Wo 9808  ,, ,23.08476449,68.41666824,29.71768202,7.48,5.114925343,G6V         ,0.646
82736,113992,218113,, ,,,23.08499352,28.20206774,413.2231405,7.48,-0.60092317,K5III       ,1.737
82753,114017,218074,, ,,,23.09042264,-22.48683403,243.902439,7.48,0.543919284,M3III       ,1.532
